child	parent	length
n3745	n3937	0.00991
n3164	n3745	0.01085
n3116	n3164	0.01946
n2633	n3116	0.00648
n2627	n2633	0.09317
17487	n2627	0.07739
n2626	n2627	0.05069
24404	n2626	0.08284
n2625	n2626	0.0336
33878	n2625	0.04154
n2624	n2625	0.01856
8700	n2624	0.06479
n2623	n2624	0.00813
24059	n2623	0.01556
32957	n2623	0.01318
n2631	n2633	0.01778
n2629	n2631	0.02432
26379	n2629	0.03812
n2628	n2629	0.06576
22412	n2628	0.03172
7770	n2628	0.01518
25064	n2631	0.10449
n3115	n3116	0.01279
n2646	n3115	0.00033
n2634	n2646	0.27636
23020	n2634	0.00217
24302	n2634	0.00618
n2644	n2646	0.14422
n2639	n2644	0.0726
21444	n2639	0.04701
n2638	n2639	0.00313
18930	n2638	0.01845
8948	n2638	0.01619
n2643	n2644	0.05673
n2641	n2643	0.00014
9557	n2641	0.00014
n2640	n2641	0.01815
26111	n2640	0.02149
38046	n2640	0.00749
n2642	n2643	0.0139
22863	n2642	0.01233
2760	n2642	0.00014
n3114	n3115	0.00874
n3105	n3114	0.01327
n2675	n3105	0.00015
n2650	n2675	0.27343
210	n2650	0.10174
n2649	n2650	0.02722
24314	n2649	0.02191
n2648	n2649	0.00501
22701	n2648	0.00909
n2647	n2648	0.01293
11094	n2647	0.00016
35134	n2647	0.01657
n2674	n2675	0.03288
n2651	n2674	0.06306
17076	n2651	0.00568
17298	n2651	0.00014
n2673	n2674	0.04556
n2652	n2673	0.00248
31443	n2652	0.00267
35113	n2652	0.05693
n2672	n2673	0.00015
n2671	n2672	0.00015
5803	n2671	0.01757
n2670	n2671	0.0034
n2654	n2670	0.01615
n2653	n2654	0.02008
11439	n2653	0
7162	n2653	0
32388	n2654	0.0537
n2667	n2670	0.03738
n2662	n2667	0.01201
17623	n2662	0.00289
34676	n2662	0.00291
37314	n2667	0.01799
8454	n2672	0.00014
n3104	n3105	0.02014
n3083	n3104	0.01675
n2997	n3083	0.01751
n2687	n2997	0.01497
n2686	n2687	0.011
n2684	n2686	0.02252
n2680	n2684	0.04968
39050	n2680	0.01342
n2679	n2680	0.06441
17380	n2679	0.03305
n2678	n2679	0.00016
40107	n2678	0.02721
n2677	n2678	0.00016
15265	n2677	0.01482
n2676	n2677	0.00294
7236	n2676	0
14172	n2676	0
n2683	n2684	0.19177
n2681	n2683	0.00257
32798	n2681	0.01625
7633	n2681	0.00863
n2682	n2683	0.00015
7850	n2682	0.00014
40485	n2682	0.01755
n2685	n2686	0.01678
12569	n2685	0.02361
9955	n2685	0.06025
26515	n2687	0.1162
n2995	n2997	0.01418
n2688	n2995	0.02624
1222	n2688	0.01488
9090	n2688	0.03356
n2994	n2995	0.02095
n2717	n2994	0.00153
n2691	n2717	0.00324
5231	n2691	0.00871
n2689	n2691	0.00295
27805	n2689	0.01767
6782	n2689	0.02075
n2716	n2717	0.00014
n2715	n2716	0.00243
28087	n2715	0.02339
n2713	n2715	0.00432
n2703	n2713	0.0003
n2702	n2703	0.00015
n2697	n2702	0.00016
n2693	n2697	0.00325
18287	n2693	0.00995
19526	n2693	0.01168
n2696	n2697	0.00438
n2694	n2696	0.00945
30240	n2694	0.01176
9896	n2694	0.00015
n2695	n2696	0.00014
40157	n2695	0.04066
6228	n2695	0.0087
n2701	n2702	0.00327
22316	n2701	0.00869
n2700	n2701	0.00016
n2699	n2700	0.00327
30867	n2699	0.01753
n2698	n2699	0.00014
25429	n2698	0.0087
32550	n2698	0.01661
27203	n2700	0.01167
29723	n2703	0.02042
n2712	n2713	0.00014
n2709	n2712	0.00288
n2707	n2709	0.00587
n2705	n2707	0.0066
19944	n2705	0.00579
4786	n2705	0.00223
n2706	n2707	0.00015
28848	n2706	0.00362
36563	n2706	0.00967
n2708	n2709	0.00306
23741	n2708	0.01193
31225	n2708	0.00871
n2711	n2712	0.00434
4293	n2711	0.00725
n2710	n2711	0.00287
23467	n2710	0.00425
22921	n2710	0.00739
22709	n2716	0.03394
n2991	n2994	0.01452
n2718	n2991	0.00303
8856	n2718	0.01464
31516	n2718	0.01174
n2989	n2991	0.00027
n2727	n2989	0.00916
37238	n2727	0.00871
n2726	n2727	0.00015
n2725	n2726	0.00015
8782	n2725	0.00867
n2724	n2725	0.00014
35402	n2724	0.00874
n2723	n2724	0.00014
17264	n2723	0.00875
n2722	n2723	0.00014
19506	n2722	0.01841
39231	n2722	0.0089
7689	n2726	0.0087
n2988	n2989	0.00014
n2742	n2988	0.00015
n2728	n2742	0.00291
16350	n2728	0.00884
39193	n2728	0.00871
n2741	n2742	0.01507
19020	n2741	0.0683
n2740	n2741	0.00862
n2738	n2740	0.00765
n2732	n2738	0.06289
27438	n2732	0.00798
38218	n2732	0.12311
n2737	n2738	0.00777
18619	n2737	0.06413
n2736	n2737	0.02378
22207	n2736	0.06812
n2735	n2736	0.0163
18035	n2735	0.04153
6134	n2735	0.04011
n2739	n2740	0.03637
3372	n2739	0.06891
39274	n2739	0.0455
n2987	n2988	0.00244
n2743	n2987	0.00015
31974	n2743	0.01168
27783	n2743	0.01408
n2986	n2987	0.0027
n2746	n2986	0.00015
n2744	n2746	0.00016
35906	n2744	0.00578
30117	n2744	0.00578
n2745	n2746	0.00016
10798	n2745	0.0087
21913	n2745	0.00578
n2985	n2986	0.00229
7005	n2985	0.00977
n2984	n2985	0.00041
n2899	n2984	0.00101
n2801	n2899	0.00665
n2760	n2801	0.0365
n2759	n2760	0.00782
n2758	n2759	0.00015
16098	n2758	0.01461
n2757	n2758	0.00015
n2756	n2757	0.00014
n2755	n2756	0.00014
18798	n2755	0.00014
n2754	n2755	0.00016
9562	n2754	0.01165
n2753	n2754	0.00016
n2752	n2753	0.00014
n2749	n2752	0.00302
26821	n2749	0.00876
23876	n2749	0.0117
n2751	n2752	0.00898
9730	n2751	0.01768
n2750	n2751	0.02335
28151	n2750	0.0298
5648	n2750	0.12057
36880	n2753	0.01168
10387	n2756	0.0843
19923	n2757	0.01166
6813	n2759	0.01211
13970	n2760	0.00834
n2800	n2801	0.01629
n2762	n2800	0.00014
9828	n2762	0.0116
24030	n2762	0.02569
n2799	n2800	0.00306
20960	n2799	0.01467
n2798	n2799	0.00622
n2767	n2798	0.00014
n2766	n2767	0.00015
10940	n2766	0.02419
n2765	n2766	0.00381
27838	n2765	0.00865
n2764	n2765	0.00015
8103	n2764	0.00866
3418	n2764	0.01183
20655	n2767	0.01158
n2797	n2798	0.00248
n2796	n2797	0.0031
33851	n2796	0.04281
n2793	n2796	0.01701
n2791	n2793	0.00753
21984	n2791	0.01759
n2790	n2791	0.00228
n2772	n2790	0.01017
10051	n2772	0.03504
n2769	n2772	0.0065
17259	n2769	0.03686
1694	n2769	0.03483
n2789	n2790	0.00014
n2786	n2789	0.01397
n2781	n2786	0.00253
3679	n2781	0.01691
n2778	n2781	0.02567
13159	n2778	0.00286
n2775	n2778	0.0063
5405	n2775	0.00578
21443	n2775	0.00338
n2784	n2786	0.02364
n2783	n2784	0.0044
18464	n2783	0.03366
n2782	n2783	0.01535
11393	n2782	0.0466
29044	n2782	0.00979
34546	n2784	0.03684
n2788	n2789	0.00287
30792	n2788	0.01154
20927	n2788	0.03773
14002	n2793	0.0207
31088	n2797	0.018
n2898	n2899	0.00504
n2804	n2898	0.00014
37775	n2804	0.00868
13325	n2804	0.00884
n2897	n2898	0.00251
30471	n2897	0.01329
n2896	n2897	0.00015
1768	n2896	0.00221
n2895	n2896	0.00013
n2856	n2895	0.00659
n2855	n2856	0.00015
39030	n2855	0.0517
n2854	n2855	0.00192
n2805	n2854	0.00015
24737	n2805	0.03035
25511	n2805	0.01463
n2853	n2854	0.00389
n2850	n2853	0.00014
36095	n2850	0.00875
n2849	n2850	0.01988
n2848	n2849	0.00279
n2847	n2848	0.00236
n2809	n2847	0.00029
n2808	n2809	0.00014
25688	n2808	0.01161
n2807	n2808	0.00014
17219	n2807	0.11316
n2806	n2807	0.0027
18822	n2806	0.05086
37414	n2806	0.03302
8678	n2809	0.04692
n2846	n2847	0.00461
n2825	n2846	0.00015
n2824	n2825	0.00013
n2815	n2824	0.00695
21054	n2815	0.00661
n2814	n2815	0.00437
3262	n2814	0.06131
2364	n2814	0.06734
n2823	n2824	0.00015
5862	n2823	0.00891
n2822	n2823	0.00016
40329	n2822	0.01158
n2821	n2822	0.00016
6954	n2821	0.00014
n2820	n2821	0.00016
n2819	n2820	0.00015
9247	n2819	0.01742
n2818	n2819	0.01639
32942	n2818	0.01279
29285	n2818	0.01165
33797	n2820	0.01746
16923	n2825	0.00884
n2845	n2846	0.00014
n2830	n2845	0.00626
n2829	n2830	0.00625
