
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	2013	6	0.0187899999999999	1.49457199999999e-05	0.00386596947737561	0.01416	0.0234199999999999	-8.32667268468867e-17	-2.54808896023758	0.0187899999999999	0.0181205589575884	0.0184539304957651		(18047:0.022374,((35716:0.021446,17843:0.020270):0.000362,40747:0.004389):0.005271):0.978746;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	2074	6	0.141295	0.01145990499	0.107050945768825	0.0273600000000001	0.25523	3.33066907387547e-17	-3.14311723386563	0.141295	0.0688939443301249	0.100442230780235		(((18811:0.364264,12736:0.009784):0.005828,21401:0.057520):0.011568,17324:0.021140):0.875233;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	11291	6	0.12136	0.00067632024	0.0260061577323525	0.09026	0.15246	0	-2.37313534807189	0.12136	0.116655015641423	0.118999802833169		(1811:0.115260,(18960:0.003905,(17253:0.057122,12545:0.075575):0.027335):0.044771):0.889789;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	12830	6	0.021175	6.03083000000008e-06	0.0024557748268113	0.01781	0.02454	0	-1.04347395973456	0.021175	0.0209355318631568	0.021055461600395		((30478:0.011695,35055:0.017145):0.009985,(38057:0.017424,3270:0.017444):0.000278):0.978941;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	16381	6	0.047035	6.05527500000001e-05	0.00778156475267026	0.0359	0.05817	0	-0.0956447049707094	0.047035	0.045933972062527	0.0464883915161403		((139:0.025596,1764:0.044647):0.040685,(17911:0.008165,24574:0.025114):0.020808):0.943373;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	17645	6	0.027635	6.850091e-05	0.00827652765355134	0.01997	0.0353	0	-3.33208463626023	0.027635	0.0255692837593042	0.0265821019747327		((6415:0.082094,15187:0.027243):0.009873,(30037:0.027096,32685:0.027060):0.009434):0.949473;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	17896	6	0.0145299999999999	4.74920000000014e-07	0.000689144397060597	0.0137899999999999	0.0152699999999999	0	-3.108785089288	0.0145299999999999	0.0145027581618347	0.0145163736764808		(21919:0.024795,((7629:0.016718,35045:0.016552):0.008243,4261:0.020541):0.000499):0.975853;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	18029	6	0.024845	1.46429099999999e-05	0.00382660554538874	0.0199300000000001	0.02976	0	-1.93358764501316	0.024845	0.0243490570427768	0.0245969948477795	0.02235	((34283:0.033866,(36068:0.033596,33391:0.033596):0.008450):0.008247,34586:0.025247):0.958014;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	18086	6	0.015275	1.556315e-05	0.00394501584280723	0.01015	0.0204	-6.66133814775094e-17	-1.79439920540101	0.015275	0.0143987719798085	0.0148374788488882		(21320:0.017437,(37573:0.017896,(24535:0.026137,31446:0.043892):0.000495):0.000566):0.972987;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	mixed	18152	6	0.01863	6.14627999999994e-06	0.00247916921568495	0.0151500000000001	0.02211	1.33226762955019e-16	-0.617402883745927	0.01863	0.0183511984017358	0.0184910528252788		((7861:0.028848,35159:0.019027):0.018642,(8622:0.028463,4877:0.028810):0.000539):0.964123;
