child	parent	length
n3590	n3572	0.00815
n3599	n3590	0.0532
n3600	n3599	0.01426
23578	n3600	0.05994
n3602	n3600	0.01253
8621	n3602	0.05039
n3604	n3602	0.01787
31177	n3604	0.03728
7	n3604	0.02112
5973	n3599	0.1493
n3680	n3590	0.05504
29907	n3680	0.05193
38479	n3680	0.00202
n3685	n3255	0.00015
n3686	n3685	0.0211
n3688	n3686	0.04609
n3689	n3688	0.01859
n3690	n3689	0.00817
n3691	n3690	0.01012
n3692	n3691	0.01285
31951	n3692	0.07665
118	n3692	0.08902
n3695	n3691	0.02332
n3696	n3695	0.01695
n3697	n3696	0.01982
25284	n3697	0.12995
35346	n3697	0.08476
n3700	n3696	0.01457
n3701	n3700	0.02417
n3702	n3701	0.04038
n3703	n3702	0.03726
n3704	n3703	0.07287
33587	n3704	0.0042
39621	n3704	0.00335
27218	n3703	0.19857
n3728	n3702	0.05003
n3731	n3728	0.05083
28422	n3731	0.00014
5629	n3731	0.00272
9845	n3728	0.04023
n3735	n3701	0.01416
n3736	n3735	0.00933
n3737	n3736	0.07309
13954	n3737	0.00611
n3739	n3737	0.00248
97	n3739	0.02192
31449	n3739	0.00483
33782	n3736	0.077
4405	n3735	0.10045
n3764	n3700	0.01052
n3765	n3764	0.02388
27332	n3765	0.0026
31051	n3765	0.00014
n3768	n3764	0.05051
17034	n3768	0.00473
n3772	n3768	0.01436
21389	n3772	0.00904
38153	n3772	0.02673
n3779	n3695	0.18996
5037	n3779	0.00016
n3781	n3779	0.00286
21773	n3781	0.01758
37783	n3781	0.03205
n3804	n3690	0.04438
8486	n3804	0.01318
n3810	n3804	0.00522
n3811	n3810	0.03493
n3813	n3811	0.0003
29675	n3813	0.01931
30941	n3813	0.03596
1503	n3811	0.01477
27234	n3810	0.0538
n3835	n3689	0.00406
28609	n3835	0.0719
n3857	n3835	0.12358
14016	n3857	0.04169
n3859	n3857	0.02492
24484	n3859	0.04836
28134	n3859	0.00842
n3864	n3688	0.0893
35928	n3864	0.02913
38800	n3864	0.05191
n3882	n3686	0.01088
n3883	n3882	0.00966
n3885	n3883	0.02681
1871	n3885	0.11769
n3890	n3885	0.04038
n3891	n3890	0.00202
n3893	n3891	0.02056
n3894	n3893	0.02051
34691	n3894	0.00862
38162	n3894	0.00015
21315	n3893	0.00255
n3927	n3891	0.00791
3959	n3927	0.01103
n3929	n3927	0.01124
17528	n3929	0.00398
